시,사업장,상세주소,대표자,전화번호,기부가 더 필요한 물품
인천 연수구,연수구푸드뱅크,인천광역시 연수구 원인재로 315,김용길,032-818-1377,
인천 중구,중구푸드뱅크,인천광역시 중구 홍예문로 77,박종실,032-761-1399,
인천 강화군,강화군푸드뱅크,인천광역시 강화군 강화읍 향나무길22번길 12,주성식,032-932-1378,
광주 서구,광주광역시푸드뱅크,광주광역시 북구 천변우로 40(임동),김천수,062-351-2114,
광주 동구,동구기초푸드뱅크,광주광역시 동구 천변좌로 656,배용태,062-234-1377,
광주 남구,남구기초푸드뱅크,광주광역시 남구 용대로 91,이선미,062-673-1377,
광주 북구,북구기초푸드뱅크,광주 북구 각화동,정진,062-266-1377,
광주 광산구,송광푸드뱅크,광주광역시 광산구 우산로 17,김재진,062-941-8248,
대전 중구,대전광역푸드뱅크,대전광역시 중구 보문로 246,최주환,042-525-1378,
대전 서구,대전서구기초푸드뱅크,대전광역시 서구 배재로 99-1,김문규,042-523-8012,
울산 중구,울산광역푸드뱅크,울산광역시 중구 염포로 85,김복광,052-285-1378,
충북 괴산군,괴산나눔과기쁨푸드뱅크,충북 괴산군 괴산읍 정용리,김태윤,043-832-3197,
경기 광주시,광주시참사랑푸드뱅크,경기도 광주시 광주대로 11-3,박병근,031-8028-890,
충남 논산시,논산사랑푸드마켓,충청남도 논산시 관촉로277번길 23-13,전종혁,041-736-1377,
서울 서대문구,서대문정담은푸드마켓2호점,서울 서대문구 홍제동,박선예,02-3157-137,
대구 중구,중구만나푸드마켓,대구광역시 중구 대봉로43안길 50-10,변창식,053-257-1377,
부산 사하구,사하사랑나눔푸드마켓,부산광역시 사하구 다대로 544 진요빌딩(다대동),김태형,051-262-1377,
서울 강남구,강남이동푸드마켓,서울특별시 강남구 학동로 426,이선구,02-556-3266,
대전 동구,대전행복나눔무지개푸드마켓7호점,대전광역시 동구 동구청로203번길 1,안승서,042-286-1377,
부산 부산진구,부산진구푸드마켓,부산광역시 부산진구 중앙대로 882,박현애,051-853-1377,
충북 음성군,음성군한울사랑나눔푸드뱅크,충청북도 음성군 생극면 음성로1620번길 7,이미경,043-878-4312,
경기 이천시,이천시선양푸드뱅크,경기도 이천시 남천로 51-6,곽연석,031-637-1377,
충북 괴산군,괴산군푸드마켓,충북 괴산군 괴산읍,최은묵,043-834-1377,
대구 동구,진명푸드뱅크,대구광역시 동구 아양로 239(신암동),장영희,053-746-1377,
경기 남양주시,남양주희망나눔동부푸드뱅크,경기도 남양주시 화도읍 경춘로달뫼1길 20-8,최정선,031-591-1062,
경기 의정부시,나누리푸드뱅크,경기도 의정부시 흥선로24번길 10,이성모,031-826-0778,
서울 강동구,글로벌푸드누리푸드뱅크,서울특별시 강동구 천호대로170길 77,권증현,02-408-8291,
부산 연제구,연제구둥지푸드마켓,부산광역시 연제구 월드컵대로187번길 6,김순희,051-714-1378,
경기 수원시 영통구,영통푸드뱅크,경기도 수원시 영통구 매봉로35번길 23-15,윤석경,031-212-1641,
인천 부평구,부평구푸드뱅크2호점,인천광역시 부평구 경원대로1367번길 18,김상현,032-511-1377,
부산 사하구,나눔과기쁨푸드뱅크,부산광역시 사하구 다대낙조2길 3,나영수,051-266-4950,
경기 포천시,솔모루푸드뱅크,경기도 포천시 소흘읍 송우로132번길 56,오승현,031-543-1377,
경기 용인시 기흥구,용인사랑나눔푸드뱅크,경기도 용인시 기흥구 신갈로84번길 5-17,이성근,031-281-1377,
울산 남구,남구푸드뱅크,울산광역시 남구 중앙로230번길 17,김성열,052-267-0676,
울산 동구,동구푸드뱅크,울산광역시 동구 문현5길 27,,052-236-1365,
울산 북구,북구푸드뱅크,울산광역시 북구 산업로 1016,,052-291-1377,
경기 수원시 장안구,경기도광역푸드뱅크,경기도 수원시 장안구 서부로 2139,강기태,031-213-8551,
경기 수원시 영통구,수원시푸드뱅크,경기도 수원시 팔달구 매산로 86,황재경,031-257-1378,
경기 성남시 중원구,성남기초푸드뱅크,경기도 성남시 중원구 성남대로1151번길 20-7,서덕석,031-757-1377,
경기 성남시 수정구,성남시청솔푸드뱅크,경기도 성남시 분당구 미금로 246,김재일,031-7147-633,
경기 안양시 동안구,안양시푸드뱅크,경기도 안양시 동안구 동안로 153,강은자,031-386-9957,
경기 부천시 원미구,부천기초푸드뱅크,경기도 부천시 신흥로275번길 19,유두환,032-326-1477,
경기 평택시,평택푸드뱅크,경기도 평택시 평택로 149,차현아,031-618-1877,
경기 고양시 일산동구,고양시흰돌기초푸드뱅크,경기도 고양시 일산동구 호수로446번길 55,심재경,031-905-3400,
경기 고양시 일산서구,고양시문촌9푸드뱅크,경기도 고양시 일산서구 주엽로 156,김신실,031-917-0202,
경기 고양시 일산서구,고양시문촌7푸드뱅크,경기 고양시 일산서구 킨텍스로 340,윤영,031-916-4071,
경기 오산시,오산시푸드뱅크,경기도 오산시 성호대로 38,김동승,031-378-1377,
경기 군포시,군포기초푸드뱅크,경기도 군포시 오금로 102,권태진,031-397-2054,
경기 남양주시,남양주푸드뱅크,경기도 남양주시 금곡로 11-6,곽건,010-4308-137,
경북 구미시,구미사랑나눔푸드뱅크,경상북도 구미시 봉곡동로2길 4,김상식,054-441-1377,
전북 부안군,부안행복나눔푸드마켓·뱅크,전라북도 부안군 부안읍 번영로 97-1,김종수,063-581-5723,
세종,세종중앙물류센터,세종특별자치시 연동면 연청로 745-86,서상목,044-867-1376,
경기 의왕시,의왕시푸드뱅크,경기도 의왕시 효행로 46,이종진,031-458-3027,
경기 하남시,하남시푸드뱅크,경기도 하남시 덕풍로81번길 18,유희선,031-793-6920,
경기 포천시,포천푸드뱅크,경기도 포천시 신북면 중앙로207번길 23,오상운,031-535-1376,
경기 화성시,화성시행복나눔푸드뱅크,경기도 화성시 향남읍 행정서로3길 50,조남범,031-8059-1677,
경기 여주시,여주기초푸드뱅크,경기도 여주시 세종로 319-1,이성관,031-886-9101,
경기 안성시,안성시푸드뱅크,경기도 안성시 중앙로451번길 11,심숙희,031-674-9451,
경기 구리시,구리시푸드뱅크,경기도 구리시 벌말로129번길 50,최길수,031-556-8100,
울산 중구,아름다운푸드뱅크,울산광역시 중구 화합로 366-1,이형철,052-292-1365,
서울 중구,중구 푸드뱅크마켓센터,서울특별시 중구 퇴계로 460,정선희,02-2297-1377,
서울 구로구,구로구 푸드뱅크마켓센터,서울특별시 구로구 구로동로50길 10,김한기,02-869-1378,
경기 용인시 기흥구,용인시여럿이함께푸드뱅크,경기도 용인시 기흥구 마북로247번길 92,윤상형,031-283-0873,
경기 가평군,가평군푸드뱅크,경기도 가평군 가평읍 달전로 44,정현주,031-581-2727,
광주 남구,희망기초푸드뱅크,광주광역시 남구 진다리로31번길 13,김영자,062-653-9313,
서울 강서구,강서푸드뱅크·마켓,서울특별시 강서구 공항대로2가길 5,이창주,02-2635-1377,
서울 성북구,성북구 푸드뱅크·마켓센터,서울특별시 성북구 아리랑로4길 22,이종명,02-981-1377,
서울 도봉구,도봉구푸드뱅크마켓센터,서울특별시 도봉구 도봉로170길 2,김용추,02-907-1377,
서울 관악구,관악푸드뱅크마켓,서울특별시 관악구 신림로58길 13,유낙준,02-872-1377,
서울 동작구,동작구푸드뱅크·마켓센터,서울 동작구 사당동,유제환,02-817-1377,
경기 광명시,시립광명푸드뱅크마켓행복바구니2호점,경기도 광명시 금하로527번길 12,이광수,02-898-1331,
전남 해남군,해남푸드뱅크,전라남도 해남군 서림길 5( 구교리),이호군,061-535-1377,
인천 서구,서구한빛나눔푸드뱅크,인천광역시 서구 가남로 261,박용선,032-583-1377,
부산 수영구,부산수영구함께하는푸드마켓,부산광역시 수영구 연수로249번길 12-18,구영찬,051-756-1925,
부산 사상구,사상구기초푸드뱅크,부산광역시 사상구 모라로192번길 20-33,정병우,051-305-4286,
경남 산청군,산청군푸드뱅크,경상남도 산청군 산청읍 꽃봉산로 84,노준석,055-973-8267,
강원 양구군,양구한마음푸드뱅크,강원도 양구군 양구읍 비봉로 61,김옥순,033-481-7733,
대구 달서구,두류푸드마켓,대구광역시 달서구 두류공원로50길 23,김후남,053-652-5300,
경북 김천시,글로벌희망나누리푸드뱅크,경상북도 김천시 지좌길 13-3,이창화,054-432-6009,
대전 동구,새소망푸드뱅크,대전광역시 동구 갱이길 49,홍학기,042-624-1377,
대전 대덕구,대덕나누리푸드뱅크,대전광역시 대덕구 대전로1032번길 51,조안순,070-4063-606,
경기 안산시 단원구,안산나눔과기쁨푸드뱅크,경기도 안산시 상록구 충장로6안길 16,라용주,031-419-1377,
서울 송파구,나눔과기쁨203지회푸드뱅크,서울특별시 송파구 마천로31길 22 원인통상(주)(마천동),최창석,1544-9509,
경기 안성시,안성동부푸드뱅크,경기도 안성시 죽산면 죽주로 292-22,김철희,070-7788-137,
충남 계룡시,계룡시사랑나눔푸드뱅크,충청남도 계룡시 계룡대로 320,이정기,042-551-9191,
천안시 충남,충남가톨릭농수산물지원센터,충청남도 천안시 서북구 천안대로 1347 천안농산물도매시장(신당,노승환,041-582-1388,
경기 성남시 수정구,희망등대푸드뱅크,경기도 성남시 수정구 희망로534번길 39,박진형,031-754-0011,
경기 안산시 단원구,안산사랑푸드뱅크,경기도 안산시 상록구 원당골3길 6-1,박재완,070-5014-5855,
부산 남구,남구푸드뱅크,부산광역시 남구 동제당로 258,윤성희,051-647-3655,
경기 용인시 처인구,글로벌희망나눔용인푸드뱅크,경기도 용인시 기흥구 중부대로 242,강정희,031-333-4646,
전북 전주시 덕진구,전주시중앙푸드뱅크,전라북도 전주시 덕진구 사근1길 23-25,고재욱,063-254-2758,
대전 동구,나누미푸드뱅크,대전광역시 동구 태전로174번안길 20,김윤환,042-623-5060,
경기 평택시,서평택푸드뱅크,경기도 평택시 안중읍 송담7길 14,서동준,031-686-7553,
제주 제주시,동제주기초푸드뱅크,제주특별자치도 제주시 구좌읍 평대12길 15,김지선,064-751-1377,
서울 강동구,"나눔과기쁨 푸드마켓, 푸드뱅크",서울특별시 강동구 천중로15가길 4,이남순,02-428-5182,
충남 서산시,서산카리타스농수산물지원센터,충청남도 서산시 안견로 214-10,노승환,041-688-1997,
대전 유성구,마라나타푸드뱅크,대전광역시 유성구 관들3길 77-30,박근식,042-935-6889,
충남 당진시,당진시나눔푸드뱅크,충청남도 당진시 북문길 1-12,방두석,041-355-5700,
경기 화성시,화성은혜푸드뱅크,경기도 화성시 봉담읍 독정길 30,강명우,031-297-6004,
전남 담양군,담양군기초푸드뱅크,전라남도 담양군 담양읍 죽향문화로 431-33,김용,061-381-1376,
충북 청주시 상당구,청주제일기초푸드뱅크,충청북도 청주시 상당구 상당로13번길 15(남문로1가),이건희,043-256-3816,
전북 고창군,선운기초푸드뱅크,전라북도 고창군 고창읍 전봉준로 88-15,손형석,063-561-1378,
충북 청주시 상당구,대청기초푸드뱅크,충청북도 청주시 상당구 문의면 두모1길 13-8,이태순,043-221-7838,
대전 서구,한밭사랑푸드뱅크,대전광역시 서구 변동로 91,최형숙,042-535-0191,
경기 안양시 만안구,글로벌행복나눔푸드뱅크,경기도 안양시 만안구 석수로 4,표용주,031-447-2901,
경기 용인시 처인구,문화협회푸드뱅크,경기도 용인시 처인구 경안천로 76,전욱재,031-322-1377,
경기 화성시,비전푸드뱅크,경기도 화성시 서신면 수풀오얏길 65-11,박재윤,031-355-1277,
광주 서구,시영기초푸드뱅크,광주광역시 서구 화정로 87-1,남국희,062-371-1377,
세종,세종광역푸드뱅크,세종특별자치시 조치원읍 세종로 2567,김부유,044-868-1311,
충북 옥천군,옥천나눔푸드뱅크,충청북도 옥천군 옥천읍 응천1길 63-3,이종선,043-731-6231,
서울 중랑구,중랑푸드마켓(면목점),서울특별시 중랑구 면목로 242,장중환,02-6952-1376,
광주 북구,행복나눔기초푸드뱅크,광주광역시 북구 당뫼로 12,김종석,062-525-1691,
충북 음성군,관성푸드뱅크,충청북도 음성군 삼성면 대성로547번길 12,유재호,043-877-9457,
전북 군산시,동군산푸드뱅크,전라북도 군산시 서수면 하금길 37-1,이강권,010-3671-020,
전북 전주시 완산구,전주시새샘푸드뱅크,전라북도 전주시 완산구 고덕산1길 82,김용진,063-286-0217,
전남 함평군,함평희망나눔기초푸드뱅크,전라남도 함평군 함평읍 송정길 49,김양희,061-324-1881,
경북 경산시,경산푸드마켓,경상북도 경산시 경청로219길 3-2,김오기,053-802-1377,
경기 시흥시,시흥푸드뱅크마켓센터,경기도 시흥시 오동마을로45번길 7,강한성,031-434-1379,
대구 동구,제일푸드뱅크,대구광역시 동구 송라로2길 17-6,박덕상,053-755-1377,
전남 장흥군,장흥엄마손기초푸드뱅크,전라남도 장흥군 장흥읍 흥성로 37-24,김영석,061-864-4804,
전남 목포시,목포예사랑나눔푸드뱅크,전라남도 목포시 양을로 261-2 용당교회탁노소(용해동),박남일,061-279-0954,
울산 북구,나눔과기쁨울산푸드뱅크,울산광역시 북구 송내11길 12,김철호,052-289-9543,
경기 안양시 만안구,안양착한푸드뱅크마켓,경기도 안양시 만안구 장내로 113,장우희,031-476-1365,
경기 구리시,구리사랑나눔푸드뱅크,경기도 구리시 벌말로 170,소재형,031-555-1243,
부산 기장군,기장푸드마켓,부산광역시 기장군 기장읍 대청로21번길 9,김진건,051-722-4006,
부산 동구,동구푸드마켓,부산광역시 동구 진성로 68,박영진,051-905-1378,
서울 금천구,금천행복푸드뱅크,서울특별시 금천구 시흥대로 97,정선균,02-808-1671,
경기 이천시,웃어라나눔과기쁨푸드뱅크,경기도 이천시 서희로71번길 14,이정식,031-632-6066,
경기 이천시,소망더함푸드뱅크,경기도 이천시 마장면 서이천로 105-6,최윤철,031-631-1377,
대구 중구,대구나눔과기쁨 푸드뱅크,대구광역시 중구 달구벌대로 2034,김정성,053-475-6960,
부산 강서구,강서구둥지푸드마켓,부산광역시 강서구 공항로 1207,김순희,051-711-1378,
경기 용인시 기흥구,아름다운동행 푸드뱅크,경기도 용인시 처인구 금령로71번길 8,김종임,031-339-1377,
충북 제천시,제천나눔과기쁨푸드뱅크,충청북도 제천시 수산면 월악로26길 57,권은상,043-643-2278,
강원 강릉시,강릉자유푸드뱅크,강원도 강릉시 범일로 663,김진구,033-644-8831,
대구 남구,남구대명기초푸드뱅크,대구광역시 남구 양지로 8,설찬수,053-657-1170,
경기 광주시,늘만나푸드뱅크,경기도 광주시 곤지암읍 곤지암로11번길 8,이배영,031-764-0091,
경남 김해시,김해시나누미푸드뱅크,경상남도 김해시 평전로 3,김영규,055-311-9745,
전북 정읍시,참좋은푸드뱅크,전라북도 정읍시 명덕로 55-1,유영준,063-531-0191,
경기 김포시,김포한강푸드뱅크,경기도 김포시 하성면 월하로 762,한경상,031-997-1370,
경기 화성시,사랑푸드뱅크,경기도 화성시 병점중앙로 5-6,주경선,031-225-1377,
경기 양주시,경기광역기부식품등지원센터북부물류창고,경기도 양주시 칠봉산로 303,강기태,070-4209-962,
경기 안성시,안성연화마을푸드뱅크,경기도 안성시 일죽면 금일로 93,이재용,031-674-1356,
서울 서초구,서초구 푸드뱅크마켓센터,서울특별시 서초구 바우뫼로 43(우면동),권영찬,02-579-1377,
서울 양천구,양천구푸드뱅크·마켓센터,서울특별시 양천구 중앙로 250,김진용,02-2062-1377,
경기 고양시 덕양구,덕양행신기초푸드뱅크,경기도 고양시 덕양구 서정마을2로 13,김진우,031-839-6000,
경기 화성시,화성여럿이함께푸드뱅크,경기도 화성시 남여울3길 9-10,윤상형,031-613-1907,
경기 부천시 원미구,복사골푸드뱅크,경기도 부천시 원미로 235,최성열,032-661-0112,
전남 신안군,1004섬신안기초푸드뱅크,전라남도 신안군 압해읍 구항길 92-58,박균보,061-278-1129,
전남 나주시,나주시푸드뱅크,전라남도 나주시 가마태길 38,최시영,070-4870-103,
강원 홍천군,홍천군기초푸드뱅크,강원도 홍천군 홍천읍 너브내길 121,권영택,033-433-8587,
서울 강북구,행복나눔 강북푸드뱅크·마켓센터,서울 강북구 수유2동,허진호,02-991-1377,
서울 강서구,나눔기쁨강서푸드뱅크·마켓,서울특별시 강서구 등촌로13길 59,김병수,010-8582-5871,
전북 전주시 덕진구,이웃사랑푸드뱅크,전라북도 전주시 덕진구 건산로 280,최형철,070-4940-656,
전북 진안군,진안마이푸드마켓,전라북도 진안군 진안읍 관산2길 10,김진,063-433-1415,
경북 영덕군,영덕군기초푸드뱅크,경상북도 영덕군 영덕읍 화개길 9-6,박진현,054-730-6616,
대전 중구,조은이웃푸드뱅크,대전광역시 중구 당디로36번길 99,배영석,042-825-9182,
충남 금산군,금산군푸드뱅크,충청남도 금산군 일흔이재로 112( 내부리),천병선,041-752-7942,
인천 중구,비손행복나눔푸드뱅크,인천광역시 중구 참외전로152번길 5-1,강덕자,032-221-0191,
경기 화성시,위드(with)푸드뱅크,경기도 화성시 장안면 노진길 117-4,양은혜,031-351-1365,
경기 양평군,나눔과기쁨5461푸드뱅크,경기도 양평군 청운면 백동길 1-3,오형규,031-775-8484,
경기 수원시 권선구,팔도푸드뱅크,경기도 수원시 권선구 새터로47번길 88,목에스더김,031-221-9004,
인천 남동구,글로벌푸드뱅크,인천광역시 남동구 남동대로915번길 33,손용익,032-422-1377,
경기 시흥시,행복나눔푸드뱅크,경기도 시흥시 호현로 68-1,김갑진,070-8245-067,
부산 연제구,부산시광역푸드뱅크,부산광역시 연제구 법원남로16번길 27,오흥숙,051-791-1377,
대전 중구,대전행복나눔푸드마켓(유천점),대전광역시 중구 유천로 93,나봉균,042-522-7100,
대구 남구,대구시광역푸드뱅크,대구 남구 봉덕동,안의종,053-474-1377,
경기 김포시,새희망푸드뱅크,경기도 김포시 양촌읍 양곡4로 139,문진환,031-987-8116,
경기 화성시,경기광역기부식품등지원센터남부물류창고,경기도 화성시 봉담읍 덕우공단2길 48,강기태,070-8666-699,
전북 정읍시,참좋은푸드마켓,전라북도 정읍시 명덕로 55,유영준,063-531-0191,
대전 대덕구,산마을푸드뱅크,대전광역시 대덕구 석봉로57번길 31,홍정미,042-933-1377,
광주 북구,섬기고나눔기초푸드뱅크,광주광역시 북구 북문대로 70,박임선,062-524-1377,
전남 순천시,순천시푸드마켓,전라남도 순천시 중앙1길 30-18,조병철,061-746-8206,
서울 성동구,성동희망푸드나눔센터,서울특별시 성동구 고산자로 323,홍완식,02-425-1377,
광주 서구,쌍촌기초푸드뱅크,광주 서구 쌍촌동,김천수,062-384-1377,
광주 서구,서구기초푸드뱅크,광주광역시 서구 운천로32번길 23,이종용,062-375-1377,
울산 중구,중구푸드뱅크,울산광역시 중구 중앙길 199,김문걸,052-243-1377,
강원 원주시,문막푸드뱅크,강원도 원주시 문막읍 동화택지길 9,김재호,033-734-0691,
광주 북구,오치기초푸드뱅크,광주광역시 북구 서하로194번길 6,신창수,062-574-1377,
강원 원주시,원주만나푸드뱅크,강원도 원주시 일산로82번길 36,추명선,033-764-9129,
